FMZ1CODE,FMZ2CODE,DMA1CODE,DMA2CODE,METRICCALCULATED,GENID,GISID,SHORTGISID,TWGUID,LIFECYCLESTATUS,NETWORKCODE1,NETWORKCODE2,METERTYPE,SHAPEX,SHAPEY,geometry
None,None,ZHAMCO12,ZHAMCO15,101.60000000000001,21842281,1789827,12D1F,A6B54B76-9352-11D6-9595-0002A54212B3,LIVE,ZHAMCO12,ZHAMCO15,VENT,516788.2,170109,POINT (516788.2000000002 170109)
ZARDLY,None,ZARDLY03,ZARDLY09,400,null,7671827,5KGMB,None,LIVE,ZARDLY03,ZARDLY09,None,459068.2657,224270.919,POINT (459068.26570000034 224270.91899999976)
ZSEWRD,None,ZSEWRD18,None,152.4,22076130,1791125,12E1H,D163922C-9356-11D6-9595-0002A54212B3,LIVE,ZSEWRD18,ZSEWRD,VENT,535154,195214.9,POINT (535154 195214.90000000037)
ZENGNE,None,ZENGNE02,None,203.20000000000002,16309429,1789389,12CP9,4C312EA3-934D-11D6-9595-0002A54212B3,LIVE,ZENGNE02,ZENGNE,VENT,446253.60000000003,167516.6,POINT (446253.5999999996 167516.59999999963)
ZNEWXP,None,ZNEWXP04,None,203.20000000000002,22055821,1790723,12DQB,6AFD05CF-9355-11D6-9595-0002A54212B3,LIVE,ZNEWXP,ZNEWXP04,VENT,535756.89673341,176893.19181459,POINT (535756.8967000004 176893.19180000015)
None,None,ZNORWD32,None,101.60000000000001,22060658,1790245,12DD1,AED99199-9353-11D6-9595-0002A54212B3,LIVE,ZNORWD32,ZWKREGCS,VENT,528777,172274.80000000002,POINT (528777 172274.80000000075)
None,None,None,None,600,null,7333284,4D6EC,None,LIVE,TF000104                      ,None,None,442493.30804476,200083.19660055,POINT (442493.3080000002 200083.19659999944)
ZHAM42,None,None,None,1066.8,22198491,1796030,12HTQ,88011892-9353-11D6-9595-0002A54212B3,LIVE,ZHAM42,ZWKREGCS,UNK,526797.7,170011.30000000002,POINT (526797.7000000002 170011.30000000075)
ZKEMPT,None,ZKEMPT08,None,304.8,22049445,1790247,12DD3,DD5026EE-9353-11D6-9595-0002A54212B3,LIVE,ZKEMPT08,None,VENT,520991,182006,POINT (520991 182006)
ZKIDTN,None,None,ZKIDTN01,152.4,16319726,1789060,12CG4,0D604613-9349-11D6-9595-0002A54212B3,LIVE,ZKIDTN,ZKIDTN01,VENT,448405.3,214863.7,POINT (448405.2999999998 214863.69999999925)
ZHODDN,None,ZHODDN01,ZHODDN02,228.6,21846950,1789408,12CPS,72C8DF2C-9351-11D6-9595-0002A54212B3,LIVE,ZHODDN01,ZHODDN02,VENT,536631.2,206501.30000000002,POINT (536631.2000000002 206501.30000000075)
None,None,None,None,null,null,7260935,4CNLN,None,LIVE,ZWKREGCS,None,None,522994.6962,169293.6234,POINT (522994.6962000001 169293.62340000086)
ZCHESS,None,ZCHESS09,None,304.8,21875316,1789744,12CZ4,5BD6C28C-9352-11D6-9595-0002A54212B3,LIVE,ZCHESS09,ZCHESS,VENT,518019.60000000003,164810.9,POINT (518019.5999999996 164810.90000000037)
ZCSTWD,None,ZCSTWD02,None,200,21830097,1791872,12EM8,B548916B-9357-11D6-9595-0002A54212B3,LIVE,ZCSTWD02,ZCSTWD,VENT,544897.7,177457.4,POINT (544897.7000000002 177457.40000000037)
ZNORWD,None,ZNORWD48,None,177.8,22034712,1789998,12D66,C9E5B960-9354-11D6-9595-0002A54212B3,LIVE,ZNORWD48,ZWKREGES,VENT,534086.7,168436.80000000002,POINT (534086.7000000002 168436.80000000075)
ZMILLH,None,None,None,609.6,25150655,1796516,12I78,003CEE6A-9354-11D6-9595-0002A54212B3,LIVE,ZMILLH,ZWKREGCN,IP,523035.7,185879.7,POINT (523035.7000000002 185879.69999999925)
ZHAMCO,None,ZHAMCO08,ZHAMCO09,304.8,21835169,1789525,12CT1,334080D8-9352-11D6-9595-0002A54212B3,LIVE,ZHAMCO08,ZHAMCO09,VENT,513440.2,169905.1,POINT (513440.2000000002 169905.09999999963)
ZCHIGW,None,None,ZCHIGW55,228.6,26066088,1791441,12EA9,F3A95CB0-9356-11D6-9595-0002A54212B3,LIVE,ZCHIGW,ZCHIGW55,VENT,539185.5821,190227.0235,POINT (539185.5821000002 190227.0234999992)
ZRUSSH,None,ZRUSSH07,None,100,null,7359381,4ERJ9,None,LIVE,ZRUSSH07,None,VENT,533191.6134,166270.0929,POINT (533191.6134000001 166270.0929000005)
ZCARTN,None,None,ZCARTN06,250,null,7773405,5NM0X,None,LIVE,ZCARTN,ZCARTN06,None,428602.19921164,207415.53669892,POINT (428602.1991999997 207415.53669999912)
